Country;Employment;Unemployment rate;Gross average salary;Persons with a bachelor's degree;Passengers carried by air;"Consumption on cultural goods ";Tourist arrivals;Internet usage per individual;Mean consumption expenditure;Crime index;Literacy rate
Belgium;4735;3.8;45984;371661;13500020;34923;10971971;93;23799;45.38;99
Bulgaria;2977;3.3;10620;147944;5047877;12517;5647634;75;3671;38.74;98.39
Czechia;5046;1.9;19512;190673;4755160;15055;11383601;89;6061;25.54;99
Denmark;2653;3.6;74076;194534;10817817;30102;6417528;99;27667;26.56;99
Germany;39148;2.5;49260;2002583;73597370;30835;93774423;91;21150;36.37;99
Estonia;611;4.4;21048;27471;1292941;14329;2138346;91;6542;23.82;99.82
Ireland;2212;4.3;45828;167763;9097359;33814;3838622;99;23887;45.48;99
Greece;3811;8.6;16260;687121;32245559;24190;18015347;78;12305;47.41;95.29
Spain;19367;9.6;28872;1224186;91898241;30223;80754714;94;16682;33.87;98.11
France;26761;4.9;42360;1116575;66030409;29667;117442342;92;20389;52.41;99
Croatia;1634;4.5;16716;93233;4458400;20163;12770754;81;7125;24.13;99.27
Italy;21760;5.3;29748;1227227;59546376;29651;78670967;82;19189;45.20;99.02
Cyprus;414;5.2;23904;24046;4649499;35579;2117531;91;17717;28.48;99.06
Latvia;817;5.1;16596;44856;2336134;14428;1306588;91;6108;38.65;99.89
Lithuania;1302;5.0;21588;77130;2464603;16254;2467994;87;6602;33.28;99.82
Luxembourg;299;3.5;61716;3056;2003521;49838;853436;99;38424;35.71;100
Hungary;4511;2.7;15408;184868;4665369;15998;6565870;89;5866;34.29;99.38
Malta;258;2.3;20472;8891;2547912;27868;981987;87;12920;40.82;94.07
Netherlands;8315;3.1;45876;695419;29082583;32624;31720384;95;23490;27.88;99
Austria;4102;4.2;44040;196271;11105564;34491;19757984;93;23590;26.08;98
Poland;16169;2.1;16668;917005;18894053;18436;22198972;85;5798;29.79;99.79
Portugal;4599;4.4;20148;216142;22347692;24842;15132460;82;12168;30.58;95.43
Romania;7625;3.2;15840;349414;10384613;11422;12820000;84;3447;28.79;98.76
Slovenia;946;3.1;24024;41933;419346;25762;3997054;89;11941;22.65;99.71
Slovakia;2516;4.5;15492;78538;642078;19341;2639819;89;6980;30.18;99.6
Finland;2388;5.2;43836;204676;4554497;30792;8974675;97;24911;27.25;100
Sweden;4726;6.5;48108;256655;10793224;28583;23934830;97;23439;49.00;99
Norway;2536;3.2;61140;192835;14136316;37330;12585072;99;35123;33.85;100
Serbia;2697;6.7;10272;182761;3431750;14355;2589400;81;3876;38.29;98
