,Employment,Unemployment rate,Gross average salary,Persons with a bachelor's degree,Passengers carried by air,Consumption on cultural goods,Tourist arrivals,Internet usage per individual,Mean consumption expenditure,Crime index,Literacy rate
Belgium,-0.21969768918799756,-0.3241581480274883,0.8619202891461125,-0.02529857438781289,-0.18161357737368053,1.0179679068627734,-0.336502063283012,0.5195595240682004,0.8581099674224025,1.3283931079808948,0.18365438442840482
Bulgaria,-0.41408553351605193,-0.6090243993243717,-1.2027794802093326,-0.49789534667913493,-0.5370404926939887,-1.4377098370582664,-0.513059443151815,-2.247890185764458,-1.2349979008291325,0.5177339938501949,-0.24438857479931714
Czechia,-0.1853093959081199,-1.4066499029556452,-0.6836269423428973,-0.40763136368617553,-0.5493497378607842,-1.159547286220473,-0.3228522296463742,-0.09542930033905703,-0.9864621394459266,-1.0938172571325218,0.18365438442840482
Denmark,-0.4499112795696865,-0.43810464854624154,2.502049966805121,-0.39947509421261385,-0.29440475217430523,0.4895905792075322,-0.48752941614249673,1.4420427606790864,1.2603427394015827,-0.969288296829312,0.18365438442840482
Germany,3.58546094952721,-1.064810401399385,1.0531870136232202,3.4199848553868915,2.3455816829792173,0.5699267296268004,2.409264023993642,0.21206511186457166,0.5826408327344893,0.22838729196920668,0.18365438442840482
Estonia,-0.6757019383398157,0.017681353528772044,-0.5939487711594915,-0.7523916565181389,-0.6949419053540888,-1.2391162428431042,-0.6294289919773366,0.21206511186457166,-0.9364430175943275,-1.3038072686242088,0.759056395193535
Ireland,-0.49867410058713363,-0.03929189673060494,0.8528123498852979,-0.45602818669557665,-0.36675292232217743,0.896422489652721,-0.5730470845935988,1.4420427606790864,0.8672610749545038,1.340601829579248,0.18365438442840482
Greece,-0.32186740941502956,2.410557864422592,-0.8734924453952644,0.6411030749594449,0.6066680575663027,-0.15835938160926627,-0.1029405866163755,-1.7866485674590147,-0.3371494641000113,1.5762301564274783,-2.419688859399214
Spain,1.398210694320587,2.9802903670163587,-0.13715058669401803,1.7756399474842812,3.11516427608074,0.5028520719779708,1.9775246904964814,0.6733067301700146,0.11801414576370937,-0.07683074798964111,-0.4408673101825348
France,2.215789602717421,0.3025476048256554,0.6503358540102644,1.5483143027499007,2.0273781686067,0.4419149647022366,3.19410273078231,0.365812317966386,0.5035045505534769,2.186666236345174,0.18365438442840482
Croatia,-0.5625854623741731,0.07465460378814852,-0.8468692383251907,-0.6134710159793245,-0.5618289980188832,-0.5997150129031174,-0.27685362002471625,-1.3254069491535718,-0.8758169301941563,-1.265960231669312,0.37311602211936107
Italy,1.6628125779821537,0.5304406058631619,-0.0860060046909819,1.7820639867148178,1.7547136090949778,0.4401613788813522,1.90842671442369,-1.1716597430517575,0.3787167205702773,1.3064174091038578,0.19768857981291751
Cyprus,-0.6974848765267478,0.47346735560378533,-0.42720342161534625,-0.7596268864966286,-0.5537929617035019,1.0898649255190351,-0.6301192266228839,0.21206511186457166,0.22564364912421905,-0.7348808421409166,0.22575697058195288
Latvia,-0.6529238405402825,0.4164941053444084,-0.8538753454488943,-0.715666262890097,-0.651073874480293,-1.228265930576382,-0.6570104567052296,0.21206511186457166,-0.981574616104918,0.506746144411676,0.8081760790393444
Lithuania,-0.5992957947501196,0.3595208550850319,-0.5624212891028254,-0.6474882154957098,-0.6456715356433512,-1.0281379487679456,-0.6184977178752294,-0.4029237125426857,-0.9302036260951675,-0.14886220541992876,0.759056395193535
Luxembourg,-0.7102008049099823,-0.49507789880561826,1.780420933063652,-0.8039677557662632,-0.6650608139565221,2.652638689268482,-0.6720371783049909,1.4420427606790864,2.378961645342648,0.14780972942007128,0.8853641536541792
Hungary,-0.2444661062127326,-0.9508639008806316,-0.9232358059735597,-0.41989428632125075,-0.5531256013493132,-1.0561953219020968,-0.4826103295323708,-0.09542930033905703,-1.0067401618181966,-0.02555411727655448,0.45030409673419586
Malta,-0.7147343098118312,-1.1787569019181385,-0.6275780853532686,-0.791641458854004,-0.642168251223244,0.24474615896654306,-0.6677743700455748,-0.4029237125426857,-0.27319570123362147,0.7716754030959561,-3.2757747778546675
Netherlands,0.17615469004660692,-0.7229708998431249,0.8556147927347793,0.6586324000284981,0.4736595645826692,0.7659995442244412,0.35152452776781895,0.827053936271829,0.8259771012017286,-0.8081331717310403,0.18365438442840482
Austria,-0.28969058194093184,-0.09626514698998141,0.7484213537421145,-0.3958057235636689,-0.2823045039174226,0.9706210896988936,-0.045153969656849646,0.5195595240682004,0.8363760870336618,-1.0278901605014108,-0.5180553847973696
Poland,1.044597311976379,-1.2927034024368917,-0.8496716811746722,1.1267274861638605,0.04521463771046416,-0.788992682444831,0.035790276654228986,-0.7104181247463144,-1.0138114721839113,-0.5749465892024805,0.738005102116771
Portugal,-0.23473565666730098,0.017681353528772044,-0.6464945745872683,-0.3538287148329919,0.1904460016852471,-0.08690075940822559,-0.19853840004888995,-1.1716597430517575,-0.3513960746897599,-0.4784976885754847,-2.3214494917076047
Romania,0.09985911974719991,-0.6659976495837482,-0.8980138203282269,-0.07229482587145089,-0.3126217134141256,-1.5577208666750448,-0.2752206007907686,-0.8641653308481287,-1.2582916290926631,-0.6970338051860197,0.015244039814222553
Slovenia,-0.6386598860930022,-0.7229708998431249,-0.42019731449164266,-0.7218410299637102,-0.7316780533451066,0.013930425292629391,-0.5677934091017255,-0.09542930033905703,-0.3750017725282485,-1.44664931132495,0.6818683205787002
Slovakia,-0.46505982033927895,0.07465460378814852,-0.9183315309869673,-0.6445138494198811,-0.7223117958524065,-0.6898054844510552,-0.6127999245544916,-0.09542930033905703,-0.8908954596504596,-0.5273325749689002,0.6046802459638654
Finland,-0.4792132014962704,0.47346735560378533,0.7365109716318184,-0.37805036357265986,-0.5577879565597484,0.5652139677331735,-0.40273328579624523,1.1345483484754577,0.9737466898735008,-0.8850481178006697,0.8853641536541792
Sweden,-0.22069284880059853,1.214119608975682,0.985928385235666,-0.26824597844801296,-0.29543892943899097,0.32310952533731624,0.09335209896267799,1.1345483484754577,0.8206736184274426,1.770348829841306,0.18365438442840482
Norway,-0.46284835453349904,-0.6659976495837482,1.7467916188698747,-0.40306419077712596,-0.15485625387469917,1.2817729737920753,-0.2830109176204167,1.4420427606790864,2.0356911230305297,-0.07927249230931141,0.8853641536541792
Serbia,-0.44504605479697074,1.3280661094944355,-1.223097190868073,-0.42434527305546327,-0.6050013677496834,-1.236266665884167,-0.6144718409894591,-1.3254069491535718,-1.2136799798736693,0.462794746657602,-0.5180553847973696
